word,english,russian
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
casa,house,дом
livro,book,книга
comida,food,еда
trabalho,work,работа
amigo,friend,друг
escola,school,школа
cidade,city,город
carro,car,машина
água,water,вода
sol,sun,солнце
